FileNumber,BeThickness,EffectiveLaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,ShockLocation
1907,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,2.55E-08,0.6,3207.604
1908,66,21,2167.491652,0.852608117,1.2545895,593.416322,539.3468104,623.6243138,0.000000027,0.6,3361.681
1909,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000022,0.6,3523.508
1910,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.25E-08,0.6,3587.529
1911,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000014,0.6,2449.15
1912,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,1.45E-08,0.6,2517.172
1913,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000015,0.6,2587.196
1914,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,1.55E-08,0.6,2657.219
1915,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000023,0.6,3645.548
1916,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.35E-08,0.6,3699.566
1917,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000024,0.6,3753.584
1918,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.45E-08,0.6,3809.603
1919,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000025,0.6,3863.621
1920,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.55E-08,0.6,3915.639
1921,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000026,0.6,3963.655
1922,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.65E-08,0.6,4013.671
1923,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000027,0.6,4061.687
1924,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.05E-08,0.6,3301.434
1925,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000021,0.6,3389.463
1926,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,2.15E-08,0.6,3461.487
1927,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,1.75E-08,0.6,2931.311
1928,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000016,0.6,2727.242
1929,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,1.65E-08,0.6,2797.266
1930,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000017,0.6,2865.289
1931,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,1.95E-08,0.6,3199.4
1932,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000018,0.6,2997.333
1933,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,1.85E-08,0.6,3065.355
1934,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.000000019,0.6,3133.378
1935,67,21,3982.107182,1.406499356,1.99354481,595.894246,460.3684838,591.5661795,0.00000002,0.6,3265.422
1936,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,1.25E-08,0.6,1596.798
1937,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000011,0.6,1422.711
1938,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,1.15E-08,0.6,1480.74
1939,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000012,0.6,1540.77
1940,68,21,2169.743374,0.904652847,1.95859143,593.468506,525.2076496,1142.667623,0.000000022,0.6,2643.322
