FileNumber,BeThickness,LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,EnergyScaleFactor,ShockLocation
2091,103,18,3990,1.2032,1,500,500,575,0.000000018,0.04,0.4,2047.024
2092,103,18,3990,1.2032,1,500,500,575,0.000000019,0.04,0.4,2125.062
2093,103,18,3990,1.2032,1,500,500,575,0.00000002,0.04,0.4,2283.142
2094,103,18,3990,1.2032,1,500,500,575,0.000000021,0.04,0.4,2385.193
2095,103,18,3990,1.2032,1,500,500,575,0.000000022,0.04,0.4,2483.242
2096,103,18,3990,1.2032,1,500,500,575,0.000000023,0.04,0.4,2577.289
2097,103,18,3990,1.2032,1,500,500,575,0.000000024,0.04,0.4,2667.334
2098,103,18,3990,1.2032,1,500,500,575,0.000000025,0.04,0.4,2757.379
2099,103,18,3990,1.2032,1,500,500,575,0.000000026,0.04,0.4,2847.424
2100,103,18,3990,1.2032,1,500,500,575,0.000000027,0.04,0.4,2937.469
2228,111,18,3990,1.2032,1,500,500,575,0.000000009,0.1,0.4,1092.546
2229,111,18,3990,1.2032,1,500,500,575,0.00000001,0.1,0.4,1206.603
2230,111,18,3990,1.2032,1,500,500,575,0.000000011,0.1,0.4,1316.658
2231,111,18,3990,1.2032,1,500,500,575,0.000000012,0.1,0.4,1424.712
2232,111,18,3990,1.2032,1,500,500,575,0.000000013,0.1,0.4,1532.766
2233,111,18,3990,1.2032,1,500,500,575,0.000000014,0.1,0.4,1650.825
2234,111,18,3990,1.2032,1,500,500,575,0.000000015,0.1,0.4,1760.88
2235,111,18,3990,1.2032,1,500,500,575,0.000000016,0.1,0.4,1866.933
2236,111,18,3990,1.2032,1,500,500,575,0.000000017,0.1,0.4,1968.984
2237,111,18,3990,1.2032,1,500,500,575,0.000000018,0.1,0.4,2065.032
2238,111,18,3990,1.2032,1,500,500,575,0.000000019,0.1,0.4,2151.075
2239,111,18,3990,1.2032,1,500,500,575,0.00000002,0.1,0.4,2245.123
2240,111,18,3990,1.2032,1,500,500,575,0.000000021,0.1,0.4,2397.199
2241,111,18,3990,1.2032,1,500,500,575,0.000000022,0.1,0.4,2489.245
2242,111,18,3990,1.2032,1,500,500,575,0.000000023,0.1,0.4,2575.288
2243,111,18,3990,1.2032,1,500,500,575,0.000000024,0.1,0.4,2667.334
2244,111,18,3990,1.2032,1,500,500,575,0.000000025,0.1,0.4,2761.381
2245,111,18,3990,1.2032,1,500,500,575,0.000000026,0.1,0.4,2877.439
2246,111,18,3990,1.2032,1,500,500,575,0.000000027,0.1,0.4,2971.486
2398,119,18,3990,1.2032,1,500,500,575,0.000000005,0.04,1.1,1032.677
2399,119,18,3990,1.2032,1,500,500,575,0.000000006,0.04,1.1,1238.746
2400,119,18,3990,1.2032,1,500,500,575,0.000000007,0.04,1.1,1442.814
2401,119,18,3990,1.2032,1,500,500,575,0.000000008,0.04,1.1,1648.883
2402,119,18,3990,1.2032,1,500,500,575,0.000000009,0.04,1.1,1848.95
2403,119,18,3990,1.2032,1,500,500,575,0.00000001,0.04,1.1,2037.012
2404,119,18,3990,1.2032,1,500,500,575,0.000000011,0.04,1.1,2221.074
2405,119,18,3990,1.2032,1,500,500,575,0.000000012,0.04,1.1,2399.133
2406,119,18,3990,1.2032,1,500,500,575,0.000000013,0.04,1.1,2657.219
2407,119,18,3990,1.2032,1,500,500,575,0.000000014,0.04,1.1,2827.276
2408,119,18,3990,1.2032,1,500,500,575,0.000000015,0.04,1.1,2851.284
2409,119,18,3990,1.2032,1,500,500,575,0.000000016,0.04,1.1,3131.377
2410,119,18,3990,1.2032,1,500,500,575,0.000000017,0.04,1.1,3273.424
2411,119,18,3990,1.2032,1,500,500,575,0.000000018,0.04,1.1,3427.476
2412,119,18,3990,1.2032,1,500,500,575,0.000000019,0.04,1.1,3583.528
2413,119,18,3990,1.2032,1,500,500,575,0.00000002,0.04,1.1,3727.576
2414,119,18,3990,1.2032,1,500,500,575,0.000000021,0.04,1.1,3865.622
